iter	Passed	Remaining
0	159	159716
1	162	80983
2	164	54661
3	166	41487
4	168	33610
5	171	28351
6	174	24763
7	177	21986
8	183	20245
9	186	18470
10	192	17287
11	196	16198
12	199	15124
13	201	14200
14	207	13600
15	211	12996
16	219	12704
17	222	12123
18	225	11641
19	246	12066
20	250	11660
21	253	11257
22	258	10992
23	265	10777
24	268	10484
25	270	10141
26	278	10018
27	282	9806
28	287	9623
29	292	9446
30	295	9221
31	299	9068
32	304	8921
33	308	8778
34	312	8627
35	315	8452
36	317	8266
37	319	8092
38	321	7916
39	322	7745
40	324	7583
41	325	7434
42	328	7312
43	330	7181
44	331	7045
45	333	6915
46	334	6791
47	336	6673
48	337	6557
49	339	6445
50	342	6365
51	344	6273
52	345	6174
53	347	6079
54	348	5986
55	349	5896
56	351	5812
57	352	5730
58	354	5651
59	356	5585
60	358	5518
61	360	5446
62	361	5376
63	362	5308
64	364	5240
65	365	5176
66	367	5113
67	368	5043
68	369	4985
69	371	4942
70	373	4892
71	375	4837
72	376	4783
73	378	4732
74	379	4682
75	381	4633
76	382	4584
77	383	4538
78	387	4512
79	389	4478
80	391	4438
81	393	4401
82	394	4362
83	396	4323
84	397	4280
85	406	4316
86	407	4279
87	410	4255
88	412	4225
89	415	4202
90	419	4186
91	421	4162
92	423	4129
93	424	4095
94	426	4062
95	427	4029
96	429	3996
97	432	3977
98	434	3952
99	435	3922
100	437	3896
101	438	3862
102	440	3835
103	442	3808
104	443	3781
105	446	3767
106	449	3753
107	451	3729
108	453	3709
109	456	3693
110	458	3669
111	462	3664
112	464	3647
113	466	3629
114	468	3607
115	470	3583
116	471	3562
117	473	3540
118	475	3520
119	478	3508
120	480	3488
121	481	3467
122	482	3442
123	484	3421
124	485	3401
125	487	3382
126	489	3363
127	490	3343
128	493	3331
129	495	3313
130	496	3295
131	498	3278
132	500	3261
133	502	3245
134	503	3228
135	506	3220
136	509	3207
137	510	3188
138	514	3188
139	516	3173
140	518	3157
141	523	3165
142	526	3152
143	527	3137
144	529	3121
145	530	3105
146	532	3090
147	534	3075
148	541	3090
149	542	3075
150	544	3061
151	546	3047
152	547	3031
153	549	3016
154	552	3014
155	555	3007
156	557	2995
157	559	2980
158	560	2965
159	562	2951
160	563	2937
161	565	2925
162	569	2922
163	570	2910
164	572	2897
165	574	2883
