iter	Passed	Remaining
0	213	213561
1	222	111156
2	230	76593
3	238	59323
4	243	48543
5	249	41281
6	252	35887
7	257	31874
8	262	28928
9	266	26335
10	268	24115
11	270	22264
12	272	20678
13	275	19401
14	277	18227
15	279	17191
16	281	16271
17	283	15457
18	285	14729
19	287	14089
20	290	13548
21	292	13020
22	294	12524
23	296	12056
24	297	11618
25	299	11217
26	301	10851
27	302	10504
28	304	10196
29	306	9911
30	308	9627
31	309	9364
32	311	9115
33	312	8880
34	314	8661
35	315	8453
36	317	8255
37	318	8068
38	321	7910
39	322	7741
40	324	7580
41	325	7426
42	327	7283
43	328	7145
44	330	7011
45	331	6881
46	333	6757
47	336	6672
48	337	6559
49	339	6449
50	340	6344
51	342	6240
52	343	6142
53	345	6055
54	347	5969
55	350	5911
56	352	5834
57	354	5760
58	357	5695
59	358	5622
60	360	5548
61	362	5478
62	365	5432
63	366	5367
64	368	5302
65	370	5240
66	371	5179
67	373	5120
68	375	5063
69	376	5006
70	378	4950
71	381	4920
72	383	4869
73	385	4818
74	386	4769
75	388	4722
76	390	4675
77	391	4629
78	393	4585
79	396	4563
80	398	4520
81	400	4478
82	400	4429
83	402	4389
84	404	4352
85	406	4315
86	407	4279
87	409	4247
88	412	4219
89	414	4188
90	416	4157
91	418	4130
92	420	4100
93	422	4068
94	424	4039
95	426	4012
96	428	3985
97	430	3964
98	433	3943
99	436	3929
100	440	3923
101	443	3902
102	445	3879
103	447	3853
104	448	3826
105	450	3803
106	452	3778
107	456	3769
108	458	3745
109	459	3720
110	461	3695
111	463	3671
112	464	3647
113	466	3623
114	468	3602
115	471	3592
116	472	3567
117	474	3545
118	475	3523
119	477	3502
120	479	3481
121	480	3459
122	482	3439
123	485	3432
124	487	3413
125	489	3393
126	490	3372
127	492	3354
128	494	3335
129	495	3317
130	497	3298
131	499	3282
132	501	3268
133	502	3250
134	504	3232
135	506	3214
136	507	3196
137	508	3179
138	510	3162
139	512	3145
140	513	3129
141	515	3114
